ID,BEAUTIFUL WARRIOR ID,SKILL NAME,SKILL TYPE,SKILL LEVEL,SKILL DESCRIPTION,effect 1,effect 2
47,13,Counter,active,1,Heals 3 random allies (Recovery amount is 120% of own ATK). Cooldown: 4 turn(s) and triggers on turn 2.,,
48,14,Thrust,active,1,"Attacks one enemy in front for three times to deal 180% Mag. DMG, with a 35% chance of inflicting [DEF RED] for each attack (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","DEF RED, DEF -20%",
49,14,Village Girl,passive,1,"ATK +10%, CRT +6%",,
50,14,Fissure,active,1,"Deals 128% Mag. DMG to three random enemies, with a 30% chance of inflicting [Confusion] (Lasts: 1 Turn). Cooldown: 4 turn(s) and triggers on turn 2.","Confuse, The unit with this status will Normal Attack randomly in the battle, ally or enemy.",
51,15,Stun Attack,active,1,"Deals 166% Phys. DMG to 1 enemy with the highest ATK, with a 45% chance of inflicting [Freeze] (Lasts: 2 turns). The chance of [Freeze] increases to 50% for target with [Slow]. Cooldown: 3 turn(s) and triggers on turn 1.","Freeze, Inflicts [Immobilize]. Effect removed after 3 attacks, but affected Beautiful Warrior takes Shaved Ice DMG equal to 10% of attacker's ATK.",
52,15,Strategy Genius,passive,1,"ATK +10%, CRT Rate +6%",,
53,15,Guts,passive,1,"DMG REs +10% when own HP less than 50%, and Heals 50% of own HP when attacking (Lasts: 2 turn).",,
54,16,Fang Flash,active,1,Deals 163% Phys. DMG to enemies directly in front. Cooldown: 4 turn(s) and triggers on turn 1.,,
55,16,Fang Assassins,passive,1,"ATK +10%, CRT DMG +10%",,
56,16,Quick Attack,active,1,Deals 64% Phys. DMG with 5 Combo Attacks to an enemy in the front. Cannot move for 1 turn after using. Cooldown: 4 turn(s) and triggers on turn 2.,,
57,17,Command,active,1,"Deals 90% Mag. DMG to 3 random enemies, 50% chance to inflict [Slow] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Slow, SPD -10%",
58,17,Pirate Queen's Granddaughter,passive,1,"ATK 10%, HP +5%, CRT DMG +10%",,
59,17,Cross Skull,active,1,"Deals 130% Mag. DMG on enemies in the front and middle rows, DMG +100% if the target is in [Freeze]. 100% chance of inflicting [Freeze] if the target is [Slow] (Lasts: 1 turn). Cooldown: 4 turn(s) and triggers on turn 2.","Freeze, Inflicts [Immobilize]. Effect removed after 3 attacks, but affected Beautiful Warrior takes Shaved Ice DMG equal to 10% of attacker's ATK.",
60,18,Heaven's Sword,active,1,Deals 171% Phys. DMG to 1 enemy directly in front. CRT Rate +30% to enemies with [Burn/Flame Burn] applied. Cooldown: 2 turn(s) and triggers on turn 2.,,
61,18,Holy Milk Trial,passive,1,"ATK +10%, CRT DMG +10%",,
62,18,Shooting Star,active,1,"Deals 124% Phys. DMG to the enemies in the front and middle rows, 35% chance to inflict [Burn] (Lasts: 2 Turn). Cooldown: 4 turn(s) and triggers on turn 1.","Burn, Target loses HP equal of 15% of user's ATK every turn. Effect can be stacked.",
63,19,Funikura,active,1,Deals 172% Mag. DMG to 1 enemy directly in front. CRT guaranteed on targets with [Burn/Flame Burn] applied. Cooldown: 2 turn(s) and triggers on turn 2.,,
64,19,Uncontrollable Power,passive,1,"ATK 10%, HP +5%",,
65,19,Fireball,active,1,"Deals 124% Mag. DMG to 3 random enemies, with a 30% chance of inflicting [Burn] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","Burn, Target loses HP equal of 15% of user's ATK every turn. Effect can be stacked.",
66,20,Vertical Strike,active,1,"Deals 220% Phys. DMG to a low HP enemy, with a 100% chance of inflicting [Bleed] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Bleed, Target Loses HP equal to 15% of user's ATK every turn. Effect can be stacked.",
67,20,Mind's Eye,passive,1,"ATK +30%, CRT Rate +15%, Attack again when you defeat an enemy, Own ATK +15% (can be stacked), Continue until the end of the battle.",,
68,20,Protector's Sword,active,1,"Deal's 318% Phys. DMG to the enemy with the lowest HP (Heals HP equal to 50% of the DMG dealt), with an additional 8% HP cap on the target (not to exceed 10 times your attack). Cooldown: 4 turn(s) and triggers on turn 2.",,
69,21,Full Swing,active,1,"Deal 139% Phys. DMG to 1 enemy in the bottom row, with a 70% chance if inflicting [Stun] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Stun, Inflicts [Immobilize]",
70,21,Dwarven Tribe,passive,1,"HP +10%, DEF +5%",,
71,21,Defensive Stance,active,1,"Immobilize RES of allies in the front row +10%, own DMG RES +20% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.",,
72,22,Full Power Slash,active,1,"Deal 201% Phys. DMG to 1 enemy in the bottom row, with a 30% chance of inflicting [Stun] (Lasts: 1 turns). Cooldown: 4 turn(s) and triggers on turn1.","Stun, Inflicts [Immobilize]",
73,22,Resilient Mother,passive,1,"ATK +10%, HP +5%",,
74,22,Follow-up,passive,1,"Consumes [Storm Hammer] to deal 50% Phys. DMG to 2 enemies other than the target, 30% chance to inflict [Stun] (Lasts: 1 Turn)",,
75,23,Hammer Stamp,active,1,"Deals 115% Phys. DMG to 1 enemy in the front, with a 70% chance of inflicting [Stun] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Stun, Inflicts [Immobilize]",
76,23,Jewels' Guard,passive,1,"HP +10%, DEF +5%",,
77,23,Protect,active,1,"Gives [Shield] to yourself and one ally with the highest speed, [Shield] absords 150% of attack DMG. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 2.",,
78,24,Lightning Strike,active,1,"Deals 150% Mag. DMG to 2 random enemies, 40% chance to inflict [Sleep] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","Sleep, The unit with this status cannot act for 2 turns. There is a 50% chance to remove this status when they are attacked once, and is guaranteed to be removed when attacked twice.",
79,24,Eternal Queen,passive,1,"ATK +10%, Healing +5%",,
80,24,Elixir,active,1,"Heals the HP of 3 allies with lowest HP (Recovery amount is 135% of own ATK), and targets Immobilize RES +10%. Cooldown: 4 turn(s) and triggers on turn 2.",,
81,25,Slave Role,active,1,Heals the 3 allies with the lowest HP (Recovery amount is 60% of own ATK). Cooldown: 2 turn(s) and triggers on turn 1.,,
82,25,Slave Gladiator,passive,1,"HP +10%, ATK +5%",,
83,25,Life Shield,active,1,Heals 1 ally with low HP (Recovery amount is 264% of own ATK). Heals 5% of own max HP every turn. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 4.,,
84,26,Dark Dagger,active,1,"Deals 240% Mag. DMG to the enemy in the front, and DMG +30% when the target's HP is 20% or less. Cooldown: 4 turn(s) and triggers on turn 1.",,
85,26,Jet Black Armor,passive,1,"ATK +10%, HP +5%",,
86,27,Emperor Beating,active,1,"Deals 230% Phys. DMG to 1 front enemy, with a 70% chance of target's ATK -20% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.",,
87,27,Challenger,passive,1,"ATK +10%, HP +5%",,
88,28,Iron Spear Attack,active,1,"Deals 113% of Phys. DMG to the row with the most enemies, with a 30% chance of inflicting [DEF RED] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","DEF RED, DEF -20%",
89,28,Genius,passive,1,"HP +10%, DEF +5%",,
90,29,Lance Attack,active,1,"Deals 187% Phys. DMG to 1 enemy, and own DMG RES +15% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.",,
91,29,Soldier's Mind,passive,1,"ATK +10%, HP +5%",,
92,30,Underworld Servant,active,1,"Deals 187% Phys. DMG to an enemy in the front row, own DMG RES +15% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.",,
93,30,Servant,passive,1,"HP +10%, DEF +5%",,
94,31,Iron Axe,active,1,Deals 234% Phys. DMG to enemies with the lowest HP with a 30% chance of inflicting [Bleed] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.,"Bleed, Target Loses HP equal to 10% of user's ATK every turn. Effect can be stacked.",
95,31,Iron Body,passive,1,"ATK +10%, CRT Rate +6%",,
96,32,Straight Strike,active,1,"Deals 247% Mag. DMG to 1 enemy, DMG +20% if the target is debuffed. Cooldown: 4 turn(s) and triggers on turn 1.",,
97,32,Fortitude,passive,1,"ATK +10%, CRT Rate +5%",,
98,33,Full Force Thrust,active,1,"Deals 230% Mag. DMG to the enemy in the front, and DMG +15% when the target's HP is 30%  or less. Cooldown: 4 turn(s) and triggers on turn 1.",,
99,33,Desert Brawler,passive,1,"ATK +10%, CRT Rate +5%",,
100,34,Time Sale,active,1,Heals 1 ally with the lowest HP (Recovery amount is 230% of own ATK). Cooldown: 4 turn(s) and triggers on turn 1.,,
101,34,Business Woman,passive,1,"ATK +10%, HP +5%",,
102,35,Florist's Pride,active,1,Heals 2 allies with the lowest HP (Recovery amount is 130% of own ATK). Cooldown: 4 turn(s) and triggers on turn 1.,,
103,35,Maiden of Love,passive,1,"HP +10%, DEF +5%",,
104,36,Stinging Dance,active,1,"Deals 104% Mag. DMG to 2 random targets, 25% chance to inflict [Freeze] (Lasts: 1 Turn). Cooldown: 4 turn(s) and triggers on turn 1.","Freeze, Inflicts [Immobilize]. Effect removed after 3 attacks, but affected Beautiful Warrior takes Shaved Ice DMG equal to 10% of attacker's ATK.",
105,37,Naked Truth,active,1,"Deals 128% Mag. DMG to 3 random enemies, with a 25% chance of inflicting [Burn] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","Burn, Target loses HP equal of 15% of user's ATK every turn. Effect can be stacked.",
106,38,Illusion Burial,active,1,"Deals 124% Phys. DMG to enemies in the front and middle rows, +20% DMG if the target's speed is lower than yours. Cooldown: 4 turn(s) and triggers on turn 1.",,
107,39,Purple Flame Slash,active,1,Deals 206% Phys. DMG to one enemy in the bottom  row. Cooldown: 4 turn(s) and triggers on turn 1.,,
108,40,Direct Interference,active,1,Deals 111% Mag. DMG to 2 random enemies. Cooldown: 4 turn(s) and triggers on turn 1.,,
109,41,Heavenly Axe of Ice,active,1,Deals 206% Phys. DMG to one enemy in the front row. Cooldown: 4 turn(s) and triggers on turn 1.,,
110,42,Quick Blast,active,1,"Deals 128% Mag. DMG to the two enemies with the highest speed, with a 30% chance of inflicting [Petrification] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Petrify, Inflicts [Immobilized]. Phys. DEF +10%, Mag. DEF -10%",
111,42,Queen's Right Hand,passive,1,"ATK +10%, HP +5%",,
112,42,Calamity Bind,active,1,"Deals 130% Mag. DMG to enemies in the front and middle rows. If the target is in [Petrified] state, this attack's CRT Rate is +30%. Cooldown: 4 turn(s) and triggers on turn 2.",,
113,43,Crimson Flash,active,1,"Deals 96% Phys. DMG to enemies directly in front, with a 63% chance of inflicting [Bleed] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Bleed, Target Loses HP equal to 10% of user's ATK every turn. Effect can be stacked.",
114,43,War God Style,passive,1,"ATK +10%, HP +5%",,
115,43,War God's Sword,active,1,"Deals 247% Phys. DMG to 1 enemy with the highest ATK, with a 55% chance of inflicting [Silence] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.","Silence, Active skills not available",
116,44,Rolling,active,1,"Deals 68% Phys. DMG to enemies in the front and middle rows, with a 30% chance of inflicting [Provoke] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","Provoke, Forces the affected enemy to perform a Normal Attack on the user.",
117,44,Princess of Steel Mountain,passive,1,"HP +10%, DEF +10%",,
118,44,Steel Protection,passive,1,"At the end of the turn, grants [Shield] to 2 allies with the lowest HP (Lasts: 2 turns). [Shield] absorbs 150% DMG of own ATK",,
119,45,Blaze Bullets,active,1,"Deals 125% Mag. DMG to all enemies in the back row, and grants [Shield] equivalent to 50% of total DMG to the 3 allies with the least remaining HP. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 1.",,
120,45,Forbidden Treasure,passive,1,"HP +20%, ATK +10%, SPD +5",,
121,45,Miasma,active,1,"When skill triggers, inflict either Fever or Blessing. Fever: (Can activate Magical Barrage) Deals 30% DMG to all enemies, and inflicts 2 random debuff from: [Healing -30%], [Hit Rate -20%], [ATK -30%], [Poison] equal to 5% of max HP (effect lasts for 2 turns). Blessing: (Cannot activate Magical Barrage) All Allies' recover 10% HP and gain ATK +10% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 2.",,
122,45,Sorceress of Justice?,passive,1,"At the start of the battle, the ATK of all enemies -10%. Lasts 2 turns. This effect cannot be removed.",,
123,46,Illusion Dance,active,1,"Deals 153% Phys. DMG to an enemy in the bottom row (with 20% [Absorb] effect), 60% chance to inflict [Bleed]. Cooldown: 2 turn(s) and triggers on turn 1.","Bleed, Target Loses HP equal to 15% of user's ATK every turn. Effect can be stacked.",
124,46,Calibara Tribe,passive,1,"ATK +10%, HP +5%",,
125,46,Clean Sweep,active,1,"Deals 220% Phys. DMG to an enemy in the bottom row, your Immobilize RES +15% (Lasts: 2 turns), DMG +20% if the target is under [Bleed]. Cooldown: 4 turn(s) and triggers on turn 2.",,
126,47,Holy Pose: Miracle,active,1,"Inflicts 96% Mag. DMG on enemies in the front and middle rows, with a 50% chance of target DMG +20% (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn1.",,
127,47,Fundamentalist,passive,1,"HP +20%, ATK +10%, SPD +10",,
128,47,Sacred Book,active,1,"Grants [Flame Shield] to 3 random allies, and deals 10% of DMG to attackers. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 2.","Flame Shield, When a Warrior with this buff is attacked, the attacker will take DMG equal to 10% of ATK. This effect cannot be disabled.",
129,47,Senior Priest,passive,1,Heals all allies for HP equal to 7% of CRT DMG when any ally deals a CRT ATK (including Melpha).,,
130,48,Holy Sacred Pose: Judgment,active,1,"Deals 111% Phys. DMG to enemies in the front and middle rows, with a 50% chance of inflicting [Bleed] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn 1.","Bleed, Target Loses HP equal to 15% of user's ATK every turn. Effect can be stacked.",
131,48,Priestess,passive,1,"ATK +10%, HP +5%",,
132,48,Holy Smite,active,1,"Attacks 1 enemy in the bottom row 3 times and deals 360% Phys. DMG. If the target is [Bleeding], DMG +15% Incapacitated for 1 turn after use. Cooldown: 4 turn(s) and triggers on turn 2.",,
133,49,Crucifixion,active,1,"Attacks one enemy in front twice and deals 180% Phys. DMG, with a 30% chance to grant a [DEF RED] effect. Cooldown: 2 turn(s) and triggers on turn 1.","DEF RED, DEF -30%",
134,49,Ronin,passive,1,"ATK 15%, CRT Rate +5%",,
135,49,Life Slash,active,1,"Deals 260% Phys. DMG to a random enemy in the middle and back range, and there is a 60% chance to let target unable to resurrect if the target is defeated (Holy Spirit Skill is not applicable). Cooldown: 4 turn(s) and triggers on turn 2.",,
136,49,Self-taught Swordplay,passive,1,DMG +30% at the time of CRT,,
137,50,Cursed Whirlwind,active,1,"Deals 77% Mag DMG to enemy with the highest SPD, with a 50% chance of inflicting [Bleed], and loses HP of 10% attacker's ATK each turn. Lasts 2 turns. Cooldown: 2 turn(s) and triggers on turn 1.","Bleed, Target Loses HP equal to 10% of user's ATK every turn. Effect can be stacked.",
138,50,Assassination Arts,passive,1,"ATK +10%, HP +5%",,
139,50,Shout,active,1,"Deals 104% of Mag. DMG to the enemy in the front and middle rows, with a 18% chance of inflicting [Petrification] (effect lasts for 2 turns). +25% chance of [Petrification] if enemy is [Bleeding]. Cooldown: 4 turn(s) and triggers on turn 2.","Petrify, Inflicts [Immobilized. Phys. DEF +10%, Mag. DEF -10%",
140,51,Unholy Pose: Corruption,active,1,"Deals 77% Mag. DMG to 3 enemies, with a 60% chance of inflicting [Curse], effect can be stacked. Cooldown: 2 turn(s) and triggers on turn 1.","Curse, After 2 turns, takes DMG of [30% user's ATK]. Effect can be stacked.",
141,51,Evil Charisma,passive,1,"ATK +15%, HP +5%",,
142,51,Unholy Pose: Domination,active,1,Deals 104% of Mag. DMG and [Curse] Blast DMG  to all enemies at the same time. Cooldown: 4 turn(s) and triggers on turn 2.,"Curse, After 2 turns, takes DMG of [30% user's ATK]. Effect can be stacked.",
143,51,Evil Spirit Body,passive,1,"40% chance of inflicting [Curse] of 30% self ATK in Normal Attack, and the effect can be stacked.","Curse, After 2 turns, takes DMG of [30% user's ATK]. Effect can be stacked.",
144,52,Snake Bite,active,1,"Deals 122% Phys. DMG to 1 enemy in the front row and inflicts [Curse] of 30% self ATK on the opponent, triggers after 2 turns. Cooldown: 2 turn(s) and triggers on turn 1.","Curse, After 2 turns, takes DMG of [30% user's ATK]. Effect can be stacked.",
145,52,A Hundred Battles,passive,1,"HP +20%, DEF +10%, DMG RES +10%",,
146,52,Snake Tail,active,1,"Deals 71% Phys. DMG to all enemies, with a 40% chance of inflicting [Curse] of 30% own ATK, triggers after 2 turns. Cooldown: 4 turn(s) and triggers on turn 2.","Curse, After 2 turns, takes DMG of [30% user's ATK]. Effect can be stacked.",
147,52,Great Skill,passive,1,"50% chance of inflicting [Curse] of 30% self ATK, triggers after 2 turns.","Curse, After 2 turns, takes DMG of [30% user's ATK]. Effect can be stacked.",
148,2,Leap Attack,active,2,"Deals 135% of Mag. DMG to the horizontal line with the most enemies, with a 50% chance of inflicting [Revive Block] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Revive Block, Revive Block",
149,2,Gifted,passive,2,"HP +25%, ATK +5%, SPD +15",,
150,2,Quadruple Pierce,active,2,"Deals 109% Mag. DMG to 4 random enemies, with a 33% chance of inflicting [Freeze] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on 2","Freeze, Inflicts [Immobilize]. Effect removed after 3 attacks, but affected Beautiful Warrior takes Shaved Ice DMG equal to 10% of attacker's ATK.",
151,2,Sisterly Love,passive,2,"At the start of the battle, Rec. Healing of all enemies -40%. Lasts 3 turns.",,
152,53,Exact Instructions,active,1,"Remove 1 debuff from 2 allies with high ATK, and ATK +15%. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 1.",,
153,53,Forest Elf,passive,1,"HP +15%, ATK +5%",,
154,53,Spirit Droplet,active,1,"Revives 1 defeated ally and heals them (Recovery amount is 171% of own ATK). If all allies are alive, heals the ally with the lowest life (Recovery amount is 247% of own ATK). Cooldown: 4 turn(s) and triggers on turn 2.",,
155,53,Elf Warrior,passive,1,Enhance the effect of Exact Instructions. Target's CRT Rate +10% (Lasts: 2 turns).,,
156,54,Tornado S,active,1,"Deals 171% Mag. DMG to one enemy in front of you, with 60% chance of inflicting [Unhealable] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Unhealable, cannot receive healing",
157,54,Eternal Experience,passive,1,"ATK +15%, HP +5%",,
158,54,Hail Storm,active,1,"Deals 130% Mag. DMG to 3 random enemies, +15% DMG to targets with lower speed than you. Cooldown: 4 turn(s) and triggers on turn 2.",,
159,54,Ancient Warrior,passive,1,DMG to targets with HP above 70% +15%,,
160,55,Holy Dive,active,1,"Inflicts 106% Mag. DMG on 2 enemies with the lowest HP, and has a 50% chance of inflicting [Burn] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Burn, Target loses HP equal to 15% of user's ATK every turn. Effect can be stacked.",
161,55,Emissary of the Heavens,passive,1,"ATK +20%, HP +10%, CRT Rate +5%",,
162,55,Falling Star,active,1,Deals 104% Mag. DMG with 40% chance to remove all buffs from the enemy. Cooldown: 4 turn(s) and triggers on turn 2.,"Burn, Target loses HP equal to 15% of user's ATK every turn. Effect can be stacked.",
163,55,Elite Angel,passive,1,"If any enemies have a [Burn/Flame Burn] debuff, all [Burn/Flame Burn] debuffs will be transferred to the enemy with the lowest HP after Nanael acts (stacks up to 3 times). Cooldown: 2 turns. Can only be activated 1 time per turn.",,
164,56,Wide Shot,active,1,"Deals 104% Mag. DMG to all enemies. For targets with 60% or more of max HP, DMG +20%, and 30% chance of CRT Rate -10% (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn1.",,
165,56,Nephilim Feathers,passive,1,"ATK +20%, HP +10%, SPD +5",,
